CS2578,50,3402.00,68.040000,35.00,103.00,2011-06-17,2015-02-08,1332,1
CS8172,22,828.00,37.640000,10.00,79.00,2011-07-29,2015-02-15,1297,0
CS8790,32,1436.00,44.880000,16.00,73.00,2011-05-18,2014-11-15,1277,0
CS3495,38,2652.00,69.790000,40.00,90.00,2012-02-01,2014-10-16,988,1
CS7601,36,1588.00,44.110000,13.00,79.00,2011-06-16,2014-12-27,1290,0
CS2858,46,3110.00,67.610000,35.00,103.00,2011-05-28,2015-01-26,1339,0
CS8994,32,1498.00,46.810000,20.00,78.00,2011-08-13,2014-12-17,1222,0
CS2877,48,3354.00,69.880000,41.00,102.00,2011-06-01,2015-03-15,1383,0
CS7698,30,1244.00,41.470000,12.00,75.00,2012-01-06,2015-03-11,1160,0
CS8008,26,1262.00,48.540000,16.00,76.00,2011-06-06,2015-03-05,1368,0
CS2571,42,3180.00,75.710000,38.00,105.00,2011-08-03,2015-02-04,1281,0
CS2507,46,3442.00,74.830000,37.00,103.00,2011-09-25,2014-08-16,1056,0
CS8494,28,1362.00,48.640000,16.00,78.00,2011-07-02,2014-09-15,1171,0
CS8663,34,1588.00,46.710000,13.00,77.00,2011-10-11,2015-03-09,1245,0
CS8014,18,700.00,38.890000,18.00,69.00,2011-05-16,2015-03-03,1387,0
CS3752,52,3844.00,73.920000,40.00,105.00,2011-07-03,2015-02-12,1320,0
CS8513,28,1608.00,57.430000,22.00,75.00,2011-10-10,2014-07-31,1025,1
CS3489,38,2714.00,71.420000,35.00,104.00,2011-09-11,2015-02-14,1252,0
CS7528,28,1172.00,41.860000,11.00,78.00,2011-08-12,2015-03-02,1298,0
CS3715,38,2764.00,72.740000,36.00,103.00,2011-05-24,2015-02-25,1373,0
CS5122,46,3026.00,65.780000,43.00,104.00,2011-06-05,2015-01-22,1327,0
CS2519,50,3868.00,77.360000,37.00,105.00,2011-06-09,2015-03-08,1368,0
CS2528,34,2264.00,66.590000,35.00,102.00,2011-11-07,2014-10-21,1079,0
CS4623,46,3434.00,74.650000,37.00,100.00,2011-06-03,2015-02-12,1350,1
CS1205,34,2206.00,64.880000,35.00,105.00,2011-05-19,2015-03-13,1394,0
CS8422,22,798.00,36.270000,16.00,76.00,2011-05-31,2015-01-11,1321,0
CS8705,26,1384.00,53.230000,15.00,79.00,2011-10-21,2014-10-05,1080,0
CS1702,34,2056.00,60.470000,41.00,102.00,2011-09-01,2015-02-18,1266,0
CS3281,30,1922.00,64.070000,35.00,80.00,2011-06-30,2014-12-03,1252,1
CS3414,56,4210.00,75.180000,37.00,105.00,2011-05-29,2015-01-19,1331,0
CS3351,40,2740.00,68.500000,35.00,99.00,2011-05-26,2014-12-27,1311,0
CS3482,34,2416.00,71.060000,39.00,100.00,2011-09-12,2014-12-25,1200,0
CS4081,50,3430.00,68.600000,36.00,105.00,2011-08-27,2015-02-25,1278,0
CS7449,28,1122.00,40.070000,11.00,74.00,2011-07-15,2015-03-14,1338,0
CS7781,36,1452.00,40.330000,13.00,79.00,2011-05-20,2014-09-08,1207,0
CS1775,26,1696.00,65.230000,39.00,102.00,2011-08-29,2015-01-22,1242,0
CS4572,52,3134.00,60.270000,36.00,97.00,2011-05-22,2014-12-13,1301,1
CS1878,46,3550.00,77.170000,35.00,105.00,2011-06-18,2014-11-12,1243,1
CS3203,36,2638.00,73.280000,38.00,105.00,2011-07-22,2014-12-13,1240,0
CS2152,26,1856.00,71.380000,40.00,100.00,2011-07-11,2015-01-28,1297,0
CS7723,20,1010.00,50.500000,17.00,78.00,2012-06-12,2015-02-09,972,0
CS3127,52,3330.00,64.040000,36.00,99.00,2011-06-08,2015-03-16,1377,0
CS8111,30,1194.00,39.800000,10.00,77.00,2011-07-31,2015-01-26,1275,0
CS3959,38,2688.00,70.740000,40.00,105.00,2011-06-24,2015-03-12,1357,0
CS5992,34,2304.00,67.760000,41.00,99.00,2011-06-06,2014-10-20,1232,0
CS7791,24,1124.00,46.830000,20.00,69.00,2012-03-03,2015-03-16,1108,0
CS2786,58,4068.00,70.140000,37.00,102.00,2011-07-06,2015-02-20,1325,0
CS5462,38,2700.00,71.050000,39.00,102.00,2011-07-28,2014-10-13,1173,0
CS5702,40,2840.00,71.000000,37.00,99.00,2011-10-21,2014-12-07,1143,0
CS4579,46,3488.00,75.830000,38.00,105.00,2011-06-04,2015-01-13,1319,0
CS8820,34,1330.00,39.120000,11.00,75.00,2011-06-30,2014-10-17,1205,0
CS7657,26,1154.00,44.380000,10.00,79.00,2011-05-23,2014-11-11,1268,0
CS1617,54,3568.00,66.070000,36.00,101.00,2011-09-02,2014-12-02,1187,0
CS8241,28,1070.00,38.210000,13.00,73.00,2011-08-05,2015-03-14,1317,0
CS5605,36,2638.00,73.280000,39.00,104.00,2011-06-13,2015-03-06,1362,0
CS8103,22,974.00,44.270000,22.00,73.00,2011-06-12,2015-02-09,1338,0
CS5982,34,2272.00,66.820000,36.00,105.00,2011-07-14,2015-01-01,1267,0
CS2418,30,1902.00,63.400000,36.00,96.00,2011-09-13,2015-02-01,1237,0
CS2967,42,2850.00,67.860000,35.00,103.00,2011-06-12,2015-03-16,1373,0
CS8357,32,1158.00,36.190000,10.00,68.00,2011-07-12,2015-03-15,1342,0
CS4363,48,3550.00,73.960000,38.00,102.00,2011-06-03,2015-03-04,1370,0
CS3272,38,2786.00,73.320000,37.00,105.00,2011-05-30,2015-01-20,1331,0
CS5754,48,3326.00,69.290000,35.00,105.00,2011-06-12,2015-02-17,1346,0
CS8056,30,1024.00,34.130000,10.00,67.00,2011-09-06,2015-01-22,1234,0
CS4711,46,3076.00,66.870000,35.00,100.00,2011-05-24,2015-03-09,1385,0
CS4527,36,2658.00,73.830000,36.00,100.00,2011-08-18,2014-11-21,1191,0
CS2073,42,3022.00,71.950000,40.00,98.00,2011-06-13,2015-02-09,1337,0
CS7435,32,1448.00,45.250000,10.00,74.00,2011-05-26,2015-01-29,1344,0
CS2066,30,1950.00,65.000000,36.00,102.00,2011-07-15,2014-10-23,1196,0
CS8978,28,1054.00,37.640000,11.00,78.00,2011-08-31,2014-11-17,1174,0
CS7803,22,1248.00,56.730000,27.00,79.00,2011-06-19,2014-09-29,1198,0
CS3061,46,3498.00,76.040000,43.00,101.00,2011-06-01,2015-01-13,1322,0
CS7837,32,1880.00,58.750000,24.00,77.00,2011-07-31,2015-02-02,1282,0
CS4808,48,3140.00,65.420000,36.00,104.00,2011-05-30,2015-01-09,1320,0
CS8936,16,824.00,51.500000,13.00,76.00,2011-05-18,2015-01-07,1330,0
CS4861,30,2264.00,75.470000,39.00,100.00,2011-07-05,2014-12-26,1270,0
CS8968,38,1666.00,43.840000,10.00,68.00,2011-06-11,2015-01-23,1322,0
CS8729,32,1446.00,45.190000,10.00,76.00,2011-10-15,2014-12-30,1172,0
CS1739,34,2398.00,70.530000,35.00,95.00,2011-07-08,2015-01-27,1299,0
CS5824,38,2712.00,71.370000,35.00,105.00,2011-09-19,2015-02-04,1234,0
CS3722,26,1802.00,69.310000,35.00,101.00,2011-05-22,2015-01-29,1348,0
CS5420,36,2312.00,64.220000,41.00,102.00,2011-05-28,2015-02-26,1370,0
CS4265,40,2348.00,58.700000,35.00,93.00,2011-05-19,2014-12-27,1318,0
CS3144,50,3616.00,72.320000,38.00,104.00,2011-07-18,2015-02-13,1306,0
CS4083,48,3522.00,73.380000,36.00,104.00,2012-01-24,2015-02-06,1109,0
CS8671,20,936.00,46.800000,16.00,78.00,2011-10-05,2015-01-10,1193,0
CS2909,38,2824.00,74.320000,35.00,105.00,2011-10-01,2015-02-12,1230,0
CS5355,28,2134.00,76.210000,54.00,102.00,2011-06-25,2014-11-21,1245,0
CS5989,40,2928.00,73.200000,40.00,103.00,2011-05-23,2015-02-18,1367,0
CS2259,34,2490.00,73.240000,49.00,102.00,2011-06-01,2015-02-16,1356,1
CS3981,42,3190.00,75.950000,38.00,105.00,2011-07-25,2015-03-02,1316,0
CS3807,40,3044.00,76.100000,41.00,105.00,2011-08-30,2015-01-04,1223,0
